bedroom,bathroom,floors,parking,location,dhur,Aana,Paisa,Daam,roadsize(feet),Road type,Years ago,Area(sq ft),Price
4,5,N/A,3,"Pasikot, Budhanilkantha, Kathmandu",6,,,,13,Gravelled,1,1093.5,32000000
6,4,3,3,"Tarkeshwor, Tarkeshwor, Kathmandu",0,3,2,0,13,Paved,0.083333333,1197.87,36000000
6,6,3,1,"Na, Bhangal, Kathmandu",4,,,,18,Blacktopped,2,729,23800000
7,3,2,3,"Sitapaila, Sitapaila, Kathmandu",0,3,2,2,13,Gravelled,0.166666667,1240.65,23500000
5,2,N/A,1,"Araniko chowk ,inner amda road, Damak, Jhapa",11,,,,16,Soil Stabilized,1,2004.75,11000000
6,3,N/A,4,"chandragiri 7, Chandragiri, Kathmandu",5,,,,10,Paved,0.333333333,911.25,26500000
5,3,2.5,2,"Sanagau height, Imadol, Lalitpur",0,3,2,0,20,Gravelled,2,1197.87,22000000
4,4,3,1,"Bhaisepati, Bhaisepati, Lalitpur",4,3,,,12,Paved,2,1755.75,31500000
5,6,3,4,"Na, Budhanilkantha, Kathmandu",17,,,,14,Gravelled,2,3098.25,62000000
5,3,3,5,"Sanagaun, Harisiddhi,  Panitanky, Sano Gaun, Lalitpur",3,,,,13,Gravelled,0.333333333,546.75,20000000
0,4,N/A,1,"Imadol, Imadol, Lalitpur",0,3,0,1,4,Alley,1,1048.14,15000000
4,5,3,4,"Gairidhara, Gairidhara, Kathmandu",0,5,0,0,14,Paved,2,1711.25,55000000
5,5,3,2,"na, Bhangal, Kathmandu",7,,,,15,Blacktopped,2,1275.75,34500000
6,5,3,2,"Gyaneshwor Chowk, Gyaneshwor, Kathmandu",0,6,2,0,15,Blacktopped,1,2224.62,56000000
4,3,N/A,2,"Bhudanilkantha, Budhanilkantha, Kathmandu",0,6,0,0,13,Blacktopped,0.333333333,2053.5,47000000
5,3,2.5,2,"opposite of Green hill city, Imadol, Lalitpur",0,3,1,0,20,Blacktopped,2,1112.31,21500000
5,5,3,2,"Na, Maharajgunj, Kathmandu",8,,,,15,Blacktopped,2,1458,56000000
7,4,2.5,1,"Budanilkantha, Budhanilkantha, Kathmandu",0,4,3,0,20,Concrete,1,1625.68,30500000
4,3,3,0,"Sundarbasti, Bhangal, Kathmandu",4,,,,13,Soil Stabilized,2,729,25000000
0,3,N/A,0,"Hattigaunda, Hattigauda, Kathmandu",0,6,0,0,16,Gravelled,3,2053.5,37500000
4,1,1.5,0,"Setipakha, Imadol, Lalitpur",0,5,1,0,4,Concrete,2,1796.81,12000000
2,2,2,1,"Sarswoti tol, Birtamod Road, Itahari",7,,,,16.4042,Soil Stabilized,1,1275.75,24500000
7,4,2.5,3,"Rudreshwor chowk-02, Budhanilkantha, Kathmandu",0,9,0,2,13,Gravelled,1,3123.03,60000000
2,1,1.5,1,"nearby Pawan prakriti school., Tikathali, Lalitpur",0,4,0,2,16,Blacktopped,2,1411.78,15000000
8,3,2.5,1,"Ochu height, Koreran college, Imadol, Lalitpur",0,3,0,0,13,Gravelled,2,1026.75,17000000
5,4,3,1,"Na, Dhumbarahi, Kathmandu",6,,,,20,Soil Stabilized,0.083333333,1093.5,65000000
3,4,3,0,"Dada Pauwa, Sitapaila, Kathmandu",3,5,,,13,Soil Stabilized,2,2258,18000000
8,3,N/A,0,"Tikathali-1, Tikathali, Lalitpur",0,3,0,0,13,Blacktopped,2,1026.75,17000000
6,6,3,2,"Na, Dhapasi, Kathmandu",5,,,,13,Blacktopped,1,911.25,32000000
4,5,1,1,"Imadol, Imadol, Lalitpur",4,,,,20,Gravelled,2,729,21000000
7,3,N/A,1,"Phutung Tushal, Kavresthali, Kathmandu",0,4,0,0,10,Soil Stabilized,2,1369,28000000
6,5,3,3,"Grande, Tokha, Kathmandu",8,,,,12,Gravelled,2,1458,43000000
9,7,5,0,"Dharma Chakra Marg, Bagbazar, Kathmandu, Baghbazaar, Kathmandu",0,3,1,1,10,Blacktopped,0.666666667,1133.7,35000000
6,3,3,3,"Lambagar, Tarkeshwor, Kathmandu",4,,,,12,Soil Stabilized,2,729,16500000
5,4,3,0,"Kausaltar, Kausaltar, Bhaktapur",0,7,2,0,15,Blacktopped,2,2566.87,30000000
5,3,3,1,"Kageshwori Manohara ward no 09, Kadaghari, Kathmandu",0,2,2,0,13,Blacktopped,1,855.62,17000000
5,5,3,1,"Man, Pasikot, Kathmandu",3,,,,14,Gravelled,2,546.75,16800000
5,3,3.5,1,"Gaurighat, Gaurighat, Kathmandu",0,3,3,0,12,Gravelled,1,1283.43,25000000
4,5,3,3,"4, Lekhnath, Pokhara",14,,,,15,Blacktopped,1,2551.5,32000000
5,3,N/A,1,"Syuchatar, Syuchatar, Kathmandu",0,6,2,0,10,Soil Stabilized,2,2224.62,22000000
3,4,N/A,0,"Maharajgunj, Maharajgunj, Kathmandu",4,,,,13,Soil Stabilized,2,729,36500000
6,5,3,0,"Khumaltar, Khumaltar, Lalitpur",4,,,,14,Soil Stabilized,2,729,19500000
6,4,2.5,1,"Nearby Nilo Pool, Sukedhara, Kathmandu",0,4,0,0,12,Concrete,2,1369,32500000
5,3,3,1,"jorpati makalbari near sano pool, Jorpati, Kathmandu",0,3,2,0,12,Blacktopped,2,1197.87,21000000
6,3,3,0,"Nearby IOM, Baluwatar, Kathmandu",6,,,,12,Soil Stabilized,2,1093.5,51500000
4,2,2,1,"Gairi tole, Tankisinwari, Budiganga, Morang",11,,,,16,Gravelled,0.916666667,2004.75,13500000
6,6,3,0,"Na, Baluwatar, Kathmandu",6,,,,15,Blacktopped,2,1093.5,42500000
6,2,N/A,1,"Ganesh mandir, Chhauni, Kathmandu",3,,,,13,Soil Stabilized,1,546.75,27000000
7,7,N/A,1,"Imadol, Imadol, Lalitpur",0,3,1,1,13,Soil Stabilized,0.75,1133.7,22500000
4,4,3,1,"Aloknagar, Minbhawan, Kathmandu, Nepal, Minbhawan, Kathmandu",0,5,0,0,13,Blacktopped,0.5,1711.25,39000000
5,2,3,0,"Basundhara, Basundhara, Kathmandu",5,,,,14,Soil Stabilized,2,911.25,39000000
5,3,2.5,1,"Inside Cozy Homes, Imadol, Lalitpur",0,3,2,0,13,Gravelled,1,1197.87,25000000
6,4,2.5,2,"New Millennium School, Imadol, Lalitpur",0,3,2,0,20,Gravelled,1,1197.87,24500000
3,4,3,1,"Na, Budhanilkantha, Kathmandu",3,5,,,12,Gravelled,1,2258,23000000
8,7,3,0,"Durga Nagar Colony, Kalanki, Kathmandu",0,7,5,0,14,Soil Stabilized,3,2823.55,41500000
6,5,3,5,"Adhikari mod, Aakase dhara, Kapan, Kathmandu",0,7,0,0,12,Blacktopped,2,2395.75,32500000
5,2,3,1,"Naikap Naya Bhanjyang, Naikap, Kathmandu",0,6,3,3,15,Blacktopped,2,2374.35,29500000
6,2,2,4,"Khumaltar, Khumaltar, Lalitpur",0,10,0,0,14,Blacktopped,1,3422.5,60000000
5,5,3,3,"NA, Budhanilkantha, Kathmandu",15,,,,13,Soil Stabilized,2,2733.75,65000000
3,3,2.5,1,"Buddhachwok, Gothatar, Kathmandu",0,3,0,0,14,Gravelled,2,1026.75,18500000
4,4,2,3,"Budhanilkantha, Budhanilkantha, Kathmandu",10,,,,13,Soil Stabilized,2,1822.5,39000000
6,3,2,2,"66/51, Janasahayog Marga, Baneshwor, Kathmandu",4,,,,0,Soil Stabilized,2,729,34500000
7,4,N/A,1,"Jorpati, Nepal Medical College (NMC), Jorpati, Kathmandu",0,0,4,,14,Soil Stabilized,1,342.24,25000000
4,5,2,3,"Hepali, Bansbari, Kathmandu",8,,,,16,Blacktopped,1,1458,47500000
5,5,2,1,"Man, Budhanilkantha, Kathmandu",4,,,,13,Blacktopped,2,729,30500000
6,4,3,2,"Jyoti Nagar, Budhanilkantha, Kathmandu",4,5,,,13,Blacktopped,2,2440.25,25500000
5,4,N/A,1,"Khahare Chowk, Pepsicola, Kathmandu",6,,,,14,Soil Stabilized,2,1093.5,34000000
3,3,2,4,"Nakhkhu, Ekantakuna, Lalitpur",0,12,0,0,15,Gravelled,1,4107,45000000
5,6,3,3,"Na, Budhanilkantha, Kathmandu",7,,,,20,Blacktopped,1,1275.75,45000000
5,3,3,0,"Basundhara, Basundhara, Kathmandu",4,3,,,12,Blacktopped,2,1755.75,26000000
2,1,1,2,"Kapan, Budhanilkantha, Kathmandu",3,2,,,12,Gravelled,2,1231.25,12800000
4,3,2.5,0,"Dhaneshwor Temple, Gongabu, Kathmandu",0,3,2,0,13,Blacktopped,2,1197.87,26000000
6,6,3,1,"NA, Budhanilkantha, Kathmandu",4,,,,13,Blacktopped,2,729,28000000
8,4,4,1,"LolangPhant Goldhunga, Goldhunga, Kathmandu",5,,,,10,Gravelled,0.25,911.25,29900000
5,4,2.5,1,"Nearby Laxmi Furniture, Imadol, Lalitpur",0,3,1,0,20,Gravelled,1,1112.31,18000000
3,3,2,1,"Yakaltar, Raniban, Kathmandu, Raniban, Kathmandu",0,3,0,0,13,Paved,0.25,1026.75,30000000
4,3,2.5,1,"Bojepokhari, Imadol, Lalitpur",0,3,2,0,13,Gravelled,2,1197.87,21000000
4,3,3,1,"Mahalaxmi Muncipality, Imadol, Lalitpur",0,3,0,1,20,Gravelled,0.916666667,1048.14,24000000
6,2,3,0,"Budhanilkantha, Budhanilkantha, Kathmandu",4,,,,20,Soil Stabilized,2,729,22800000
4,2,N/A,1,"maitidevi, Maitidevi, Kathmandu",6,,,,13,Soil Stabilized,1,1093.5,55000000
7,4,3.5,1,"Chappal karkhana, Chappal Karkhana, Kathmandu",0,5,1,2,12,Soil Stabilized,0.916666667,1839.59,40000000
5,5,2,0,"Taulung road, Budhanilkantha, Kathmandu",14,,,,14,Blacktopped,2,2551.5,51000000
4,3,2.5,1,"Near Kirat Yakthung Chumlung, Sovahity, Lalitpur",0,3,0,0,10,Concrete,1,1026.75,20000000
7,6,3,1,"NA, Tokha, Kathmandu",3,3,,,15,Gravelled,1,1573.5,23500000
0,4,4,0,"timalshina chowk, Imadol, Lalitpur",11,,,,0,Soil Stabilized,2,2004.75,18000000
